Tweet,Label
suka viaorg jujur kaga gimmickan hidupnyahitam hitamputih putihkl ngomong blakankl ngga suka dy ngomong puragw sihapa munafiksprti ajaran ortu gwjangan suka memberi senyum kepalsuanga kaya artis onoh noh mulutnya lebar kya gorongtukang ngibulmunfik bgt kl ditanya wartawan jg jawabnyaperilaku ama omongan balance,+
weewww bangga kali ak liatnya bang username pake baju adat karo syip,+
keren dr penyanyi aslinya,+
keren suaranya super merdu coba ikut audisi nyanyi bakatnya bs tersalurkan,+
cantik polos keliatan berbakat semoga tenar gek selebgram kaya mba novilda dek kehilangan arah etaplah beginijangan cepat tumbuh dewasa terus asahlah bakat allah bless you both,+
bagus iniii kaya pingin terkenal rambut alusin dlu muka makeup dl biar dikamera keren kl bnr bnr keliatan lelahnya abis pulang sekolah,+
ulang berkali kali sampet percaya klo suara aslinya bagus bgt,+
aduhh kerennnn suaranya enak nge jazz gimanaa gtu muka mah belakangan ntr klo tenar muka mengikuti hahahahahaha skill dlu nomer batu abege jaman now,+
kereeeeennnn nyanyinya santai,+
wajah anak skul bgt yaakk mase alami bgt suka liatnya lagu ma suara keren palg pake bando suaranya mantap,+
keren suaranya dasarnya cantik tinggal poles dikit bersinar,+
keren bgt suaranyatinggal dipermak biar tmbh cantikviralkann,+
keren penting punya bakat ntar jg klo artis duit mukanya cemerlang,+
keren min berbakat kaya gini up publik,+
mbak hamil selamat mbak semoga kandungannya sehat mbak rininya bahagia hamil pertama semoga lancar proses persalinannya,+
pasangan cantik ganteng suka liatnya,+
hamil selamat mbak sandra semoga kehamilannya sehat fit semoga lancar prosesi persalinannya calon ibu nih,+
lihat infotainment nikah wkt ditanya persiapannya jelang pernikahan sandra dewi bilang klo calon suaminya pengen cepat punya anak hbs menikah krn suka anak sdh prepare program lakukan klo dlm wkt blm dikasih anak but finallycongratssemoga lancar sehat trs sampe lahiran,+
keluarga terhumble tersempurna tersederhana engga sok terlihat kaya pnah manja pake pesawat jet pribadi kayak,+
bunda maia cantik semoga slalu sukses sehat trs cantik wajahnya secantik hatinya,+
liat username bergaya apapun ttp kliatan bagus suka lgu sukses trus,+
bangat emasnyajadi salpok diemasnyatp sumpah lagunya music keren bngatapalagi konsep mv ambil handelkan keren menurut sayakalo denada taro kutang diluar krn minim perestasitp agnes wajarprestasi dunia fashion artis indonesia unggulkrn berani cocok pake,+
keren suka ma agnes tp suka ma lagu n suka jg ma y nyanyi santai lagunya tp asyik,+
bandingin lagu go internasional ngena seru enak didenger api tumben agnes memberikan bumbu indonesianya kaya batik gtu,+
baru keren mba mba superman wkwkwk,+
sumpah gua suka bgt lagu asik bgt dengernyaa,+
enak mak lagu dialbumnya suka inih sm beautiful mistake,+
mantap gw suka bngt ama agneskarena dy artis bertalenta kayaan dy dipamer ky artis ygblaingw suka dy pamerkeren bngt,+
enakk musik nyaa lagii lhatt ka agnes nyaa dance kaya nyaa nyamaann enakk bgt tuh kayaa nyaa,+
asik bgts dancenyaapa lagunya mancappppp,+
mbak dewi sabar keliahatannya keren semoga langgeng,+
soal pasangan hidup ijk salut sih mami depe matre n neko penting single n cocok doi diajak merit kyk tetangga sblh saking matrenya suami org embat jg,+
duda singgel ngak masalah penting laki jaman setia menemani dunia akhirat amin good luck dewi persil sehat slalu dlm berkarya,+
muantepp gantengselamat menempuh hidup baru mg langgeng rumah tanggax bhagia n selladem ayem,+
dengar kata menyakitkan hati baik tenang jalanin pilihan andah bahagia kata hatimu maju trus sukses pasangan mu,+
beruntungnya bella fokus ama komen lakinya coba ngga model bajunya diceramahin ama netizen,+
pasangan suami istri normal omantisme istri perlu diumbar p dijaga suka umbar kemesraan iti kebanyakan menutupi kenyataan,+
alhamdulillah username engku emran masyaallah ganteng anteng sabar sholeh penyanyang senyumnya cute baper dech,+
lbh cantik sih hebat jg ni lakik ciwik cakep lho,+
semoga putus ka bella bahagia tuh malu,+
kisah jevin radhini rini belajar jodohmu jalannya kebetulan ngikutin dr awal nonton pas live the remix jevin ngomong pacar nonton nunjuk radhini jg nntn pas jevin meluk radhini erat bgt backstage stlh lolos final keliatan jevin anaknya gentle tulus penyayang api allah maha pembolakbalik hati mei jevin radhini pcrn sept jevin rini dipasangin the remix des final the remix jan jevin radhini putus feb jevin rini pcrn april jevin ngelamar rini feb jevin rini tunangan mei jevin rini nikah allah works in many ways allahs plan is better than our plan jevin dulunya berfikiran nikah umur sangka umur dlm waktu pcrn baru bulan yakin ngajakin anak nikah happy wedding soundwave bahagia,+
pingkan ni suaranya enak bindeng gimana gt berciri khas gw merem denger suaranya gw langsung tauk,+
suka nih ni artis neko neko ternyata lahiran,+
alhamdulillahhh ngepost ayangnya ibel biarin damai seisi dunia sdh punya pasangan engga bilang ibel pho happy bday ibel,+
username ka bella sholehah punya penghasilan cantik allah kasih jodoh baik,+
mbak bela nikahnya berdasarkan atas dasar agama mbak diutamakan biar lakinya dpt baik yakin laki baik kaya raya nikahin mbak,+
duh geulis kitu ditinggal duuuhhhh jodohnya allah kasih baik eeeh,+
bu ameeel bankkangen bu amel cantikramahbaik ama kangen tentengannya hihiii nanya mba bu amelnya pindah rumah hamil sehat bu amelsalam annabel,+
ambil positifnya mbak oma nani menjalankan mbak bilang gimana nggak oma langsung cerai pilihan hidup gimana baik didoakan semoga langgeng menikah ibadah heheu username,+
mba acha cantik calon ibu blm d kasih momongan sm allah smoga segerakan,+
berasa kaya manggung kk username semoga lancar cepat punya momongan biar princess momo prince,+
smua orng berhak melakukan apapun suka asal g mrugikan ornglain aurel dandan berlebihan natural hak aurel pinter dandannya kliatan cantiiik,+
beruntung aurel dpt ibu sambung kaya ashanti username,+
keren ashanty segitu sayangnya anak nyapadahal anak kandung ibu kandung blm hatinya kek bidadari tv tv beruntung aurel azriel punya ibu tiri,+
salut bunda username slalu trdpan melindungi ankyhmngalahin ibu kandung sndri cma diam ajjbt aurel pa slah pd dya jga manusia ciptaan allah klau dya lbh sgla yh dri suka nyinyiir mslh pnampilan brarti dh nasib tuuh g bsa sprti aurel lbh baek n bgs dri nyinyiiir,+
aurel perempuan hebat ingat bgt kejadian zaman pipi mimi ny dilihat didepan mata anak bs strong kyk nyinyir iri krn aurel bs punya keluarga bahagia kyk skrg blg bundanya ash lebay blm punya anak hati sayangkm jg perempuan bakal ibu bayangin anakmu korban bully,+
cantik banggeett depe keliatan loh klo dy nikah msh gadis wajah cantik semoga lancar hari h depe bahagia dunia akhirat aammiinnn,+
dadddd semoga dateng yaaa papapapa diluar semoga sehat menjadi saksi anakanaknya menikah aamiin,+
semoga dilancarkan nikahnya ayahnya lekas ditemukan keadaan sehat kurang apapun,+
bener kata pepatah yess buah jatuh jauh pohon cantik dapet mamanya suara bagus pinter nyanyi darah seni papa calon generasi hebat masa,+
semoga sehat dimurahkan rejekinya pak,+
pria setia pekerja keras tdk malu pilihpilih cari nafkah kebalikanbeda bgt mentang ganteng milih nganggur ketimbang ojol istri diselingkuhin baik maunya,+
doa istri anak menyertaimu bang lelaki bertanggung jawab perlu karna laki tanggung jawab otomatis sayang anak istri beda sayang bertanggung jawab,+
allah bahagia cara mewah sesederhana aj bahagia komunikasi keluarga,+
amin smg lancarkan n mudahkan rejeki inget waktu suami sy jg gojek srg nlp nanyain anak istri mkn blm pdhl mgkn sempet mkn ngga hujanan n panasan tp penh mengeluh menyempatkan komunikasi n ttp keep in touch kesibukannya bangga n ttp berjuang y ms gojek krn anak n istri mendoakan terbaik,+
respect istri n anak menunggu sabar dirumah insya allah allah swt menjaga,+
bangga suami ingat istri disela waktunya apapun profesimu kaulah juaranya sehat terus pak gojek semoga lacar rejekimu amiiin,+
apaoun pekerjaannya penting halal u tuk menafkahi keluarga semangat pak,+
keren bang flm persahabatan keluarga cinta kentel okoh pemain pas keren bang,+
romanharusbertahan bangga menyukai film mengandung bnyak makna sperti,+
pokoknya nonton film kartini asli keren nonton bioskop bikinnya susah loh,+
suka video railer film he guys bioskop april,+
kebanyakan nangisnya selera secara keseluruhan sy kagum film kartini,+
thank you mas tim uda danur film keren bangetbuat tmn nonton silakan ditonton rekomended,+
coba nonton filmnya asik parah,+
nonton get out bener punya ekspektasi tertarik karna filmnya jordan peele puas keren parah film sakit jiwa,+
cek tread film terkenal ternyata asik tonton nemu film bagus,+
critical eleven film bagus cerita pemain gambarnya bagus puas dah nontonnya,+
mbah cucumu barusan nonton night bus gila keren gini tinggal dikit layarnya bandung mbah kasian,+
awal sampe akhir kagum film the guys raditya dkk kocak heguysquiz,+
film ziarah muatannya berlapis entang hidup cinta sejarah misteri disimak,+
lapor mbah film keren worth to watch syukur instrospeksi abis nonton,+
film ziarah teramat keren bangga layak oscar,+
barusan bgt kelar nntn film lokal pertama tonton berhasil bikin nangis speechless liat aktingnya,+
bahagia dipertemukan film keren,+
trust me getout tipe film nyaman dinikmati filmnya kemana baca sanasini beda,+
sy bahagia krn film sebagus ditonton mrk mrk ditugasi gurunya gurunya bagus filmziarah,+
film keren falsafah hidup salut,+
malesan diajak liat he guys ngerasa duit terbang pasca nonton hangout beda ternyata tjoy film keren,+
nonton bang sumpah pecah nih film berhasil bikin mewek nontonnya,+
penembakan paket productname gangguan providername,-
keluhan ditanggapi bikin emosi pulsaku dicuri terus soak masa hari pulsa berkurang hari,-
providername providername kualitas provider providername gangguan trouble mahal berhari uselessg url,-
koneksi providername daerah sawojajar kota malang seminggu lemot parah gangguan kah providernamecare providername,-
baru isi kuota baru menit langsung habis kacau providername url,-
benci kelakuan usermention bikin boikotprovidername pendukung pki coba lihat iklan providername gambar palu arit,-
malas gb gb providername masalahnya harga mahalnya jaringannya free youtubenya terpakai jamnya hadeh,-
tolong lakukan reset nomor jaringan lemah memakan waktu open page web lemot jaringan lte providername providername,-
pelanggan providername providername area pandeglangkota dirugikan krn jaringan telponnya rusak tidak diperbaiki,-
sedih pakai providername g stabil,-
jarigan providername lelet gangguan rusak,-
providername goblok sih providername jadimurahan,-
benar kacau baru isi kuota datanya langsung habis providername,-
providername bangsat gemas duh,-
signal providername mentari memprihatinkan saatnya memikirkan ganti kartu kecewa providername,-
providername providername gangguan daerah kramat jati sumpah lelet g,-
providername providername super lelet g tp kecepatan kbs gangguan gimana sih,-
intinya kesel att gausah anaknya kasian perkembangan psikis anak kedepannya bener bener tolol skrg seandainya punya anak terus anaknya dikatain benci gimana perasaan benci batesnya namanya manusia gaakan penyuka haters,-
krn sebagian besar rakyat indonesia bodoh dk membedakan baik buruk sdh prilaku buruk tdk sopan santun dipilih panutan mengidolakan murahan dr pd berkelas ber etika,-
jijik liatnya suer minceeee,-
masalah ciuman dpn org bnyk sih punya rasa malu kecuali mgkn mabok rasa malu berteman helooow pertemanan tdk melibatkan ciuman bibir coba bayangin sanggup ciuman bibir ma eman lbh dr teman dasar kelakuan kids jaman now emg bego krn kebanyakan micin lho yah,-
username ampun upil naruto katanya mencerminkan klo pecunpengalaman kesian gua prihatin mati aj ngotorin dunia manusia,-
kasian ih nyari uang sampe segitunya,-
gila pengen hitz cri tenar rela dipenjara cari sensasi settingan beken smpe hina org astagfirullah sekaya sih org kaya mulut ky sampahga sekolah,-
cowok anjing cuihhh kaya tidak berkoar gua ping kaya seduniakarena klo kaya kaya malahn berperilaku sederhana memamerkan kekayaan dunia akhirat mampus harta kagak bawa mati pants buang laut anehhh,-
sikat abiss lahh orng sialan kaya gini pemimpin negara hormatin mentang bapak president baik sembarangin marah hina pemimpin harap segera tindak hukum orng iniï¿½,-
jijik lihat tingkah upil mudahan secepatnya tidur,-
sakit otak hatinya mah nurani urat malunya pajak loh ngegaji gila hormat,-
ratu pelakor sejagat aya dimana lonte punya malu ngerasa lonte olong punya malu dikit,-
alah laki laki jaman skrg sm bejat ustad kek kek gila bgt sm perempuan istrinya stju bgt sm blg ustazah username msuk surga bkan krna poligami msh bnyk bs akhlak baik bs masuk surga smoga sih perempuan perempuan pelakor diluar sna mendapat azab diampuni hidupnya bakal selamat dunia akhirat,-
gilaaaaa pelakor bnget laki gatal alasan berpoligami woiii mikir pake otak haduh pikir org pintar agama baik buruk allah menguji kesetiaan nafsunya kaya gtu menyakiti istri sja menutup pintu rejekimu anak istri korbankan sbg seorg imam keluarga gagal mmpertahankan rmh tangganya mencoreng nama baik sndiri smua org suka skrg benci m,-
username pemikiran manusia bodoh eehhh tanteibuomaempo otak picik bngt jga manusi larangan emang dunia larang ngungkapin unek stupid human,-
username cara didik ortunya nagita bagus heran dg balajaer nagita yah dirugikan sm junjunganny knp dibenci bodoh bgt asli,-
username goblok netizen kontra sm postingan via bakajaer kali mbamas ih goblok dipiara lol,-
lemes mulutnya berani lewat ststus tulisannya sengaja biar kebaca takut kali labrak mmmm artis kampungan sih wajar,-
username yutub mba aplikasi baru sy taunya youtube mba seseorg bs dpt penghasilan besar salah satunya dr youtube loh mreka jg bayar klo bnyk ntn video mreka sekolah bener mba biar pinter generasi muda,-
gua bingung jujur media rebutan ngeliput kayaknya cuman net doang media informasi waras,-
japok gateeel emanguda jelas main mamadsampe jessica dimusuhindeddy corbuzier jijik japok semenjak nagita diundang hitam putih berarti nagita cerita belakang panggungitu sih menurut,-
username ai loe gedein bagus pupuk jngan bacot loe goblok nih cewek knpa bawa suku,-
pantes dipanggil ustadorg munafik ceramah org kelakuan sndr menzolimi istri sah poligami diamkacian istri pertamanyaga tw malu istri keduanya hadeh klo msh manggil bwt ceramah namanya bodo,-
dasar anjing tuh cowok org berani cowok one by one lemah dasar yah cowok jaman skrg casing doank cowok nyali banci,-
username kasian micin perusahan produk micin mengiklan masak tambahkan micin biar tambah sedap netizen menyudutkan mecin kebodohan punya gangguan jiwa ngemil micin justiceformicin,-
yah admin termasuk golongan pengonsumsi mecin pil pcc otak rusak min,-
username hoy barisan sakit hati jijikk fans billy mah alhamdulillah bgt billy putus manusiaa buluk ituu ditunggu akhiry putus kobil jg jijik ni v,-
mba username ngerasa cinlok babang anthony erus awalnya ketemu dimana sih sinet boy alah ngaku ajaaa berarti mba dumang cinlok sok bilang cinlok namanya pembodohan wajar netizen bilang atu cinlok kenyataan emang marah esiko artis hahahhaa pinter mba cari alasan hahahahaha,-
username bilang tu kuin gesek grepe ama lakik orng malu hamil luar nikah kegatelan janda,-
najis baru muakk menjijikan pelakor jijik,-
semoga pelakor kena karma semoga karma meninggalkan istrinya bwrjuang dg dr nol tp sukses selingkuh sok penguasa istri,-
sedih skrg ngamen kawinan org mantan istri mahhhh naik pesawat jet bhay pelakor n botakbego,-
username heeehh pelakornya yaaaakkk ngapa emosi situuu gw berani pake akun asli pantes pake akun bodong ngerebut laki diem keceplosan yak pake bodong ngakak gueeee lucu,-
username bodoh ngapain keluarga depok komen org artinya hidupnya bahagia suka menghujat hidup artis ayu berpengaruh emang dasar benci ayuklo,-
mata sepet baca koment fans ubul empang minggir woy bikin rusuh nih jaer amis jijik sumpahsoal enji sm cewek ttp bala jaer nyampah bikin ribut,-
sih enji hartis kah males jijik laki model mah tanggung jwbnya ayu bunting tinggalin anak akuin skrg anak nongol bilqis cantek sampek bini ngeposting enji kangen anaknya najonggg jijik betoll dah min usah bahas laki hartis panutan ambil username,-
goblok gua nonton berkali kaget,-
bener gimmick bodoh ayu rating n popularitas berani taruhin harga nilai buruk mata masyarakat,-
susah otaknya diemvang mah bikin rusuh dilapak,-
bagus berarti otak kayak malu maluin mak tong akun asli pake tu namanya bego username,-
wanita jahiliyah lesbi skrg py pacar kasian anaknya kmrn ksh bencana slnya tega misahin anak dr bapak ktakutan anak masuk islam pdhl bp g prnh nuntut anaknya memeluk islam ksh nikmat anak org msh begajulan,-
amit amit jahat penjilat pembohong pelakor jijik,-
jongos cba duluan nanya sm emng nyonyiah gembar gembor nikah adakah nyonyiah ngaku udeh nikah dr tetehlu lonte perek tiba brojol ngaku nikah siri sm laki nyonyiah hamidun sapeak anak ilegal dibilng fitna keji lonte menolak lupa xixix username,-
username gua jawab currr bunmai sdh nikah p janda janda suami rampas mulan jameelamenjijikkan mulan jameela sblm rmh tangga bunmai hancur sdh berani bilang dani suami aduha wanita be,-
lakik doyan banci banci kawinin banci jijik,-
username comment tidak lihat brp pengguna medsos bodoh asal bunyi situ sehat pakai hijab masi nyinyir,-
username malu tuh kerudung sayang ibadah sholat drpd nyinyirin org dandanan sok suci mulut kaya sampah,-
koq marah sehhhdasar wanita kampungan,-
gagal fokus dengar suaranya koq jengkel dengernya sorry cuman manusia jengkel,-
gini pengen tenar ampuuunmalu anaknya yah kasian,-
heran gw mak username knp pake ma anv pesbur kasus ny bederet skandal bertubi malu ny muka tembok faedah ny nonton acara manusia kardus,-
wey org goblok bedain vape shisha sm rokok jelas jelas ngerokok pake acara ngaku,-
jijik liatnyakaya ulet bulu kluget gituhihihiampe sgitunya pengen terkenal,-
usernamealycia sist jijik gw liatnya sok suci ngatain gw sih malulah artis papan atas otak fikir ngomong ketauan bngt gada wibawanya emang nyadar cara berkomentar manusia gada,-
tolong editingnya bagus kecewa film indonesia ditunggu filmnya,-
kecewa salah satu aktornya ternyata pendukung penista agama bersabar utk menonton film,-
kecewa parah film the guys dear sorry to say this,-
kecewa abis nonton film,-
awal bulan nonton dua film indonesia bioskop kartini critical eleven penggambaran kartini ale anya lemah,-
nonton film kartini miris ternyata jaman jaman bangsa tetap bodoh serakah gila kawin ironis celotehpagi,-
film kartini trlalu singkat penonton blm baca biografi jelas ttg kartini bingung sndiri emg blm baca bukuny,-
habis nonton the guys kecewa nonton film dibanding film anjlok,-
nonton film alien kecewa ragu nonton,-
duh film ribet,-
baru keingat film cukup beda buku bikin kecewa teman ngajak nonton black bulter,-
ogah nonton kecewa ama film,-
kecewa berat film power angers dibawah ekspektasi,-
sebenernya nggak salah akting prilly film danur menurut oke oke kurang greget ceritanya sih kurang kuat,-
abis nonton film balap mobil itutertidur menit lelah bosan,-
respect kelakuan dian sastro film hambar bermutu,-
sebnarnya film lumyan bgussayangnya aktor n aktrisnya rusia filmnya trsa hambar,-
nolan bikin film perempuan seksi bumbu percintaan hambar,-
semalam nonton film paginya ane download malem langsung nonton ane smpai begadang hasilnya ane kecewa,-
takut kecewa nonton film danur takut sesuai ekspetasi buku mikir panjang serius,-
nonton alien covenant mall kaya nonton bajakan parah skip mati mati jelek parah film bagus jelek,-
jarang bgt nntn film indonesiakrn nntn slalu kecewa pembuatan film mnrt totalitas,-
awalnya ragu nonton kebanyakan kecewa waktu nonton film adaptasi novel,-
gamau berekspektasi tinggi sih film diangkat dr buku kecewa,-
tidur kecewa film diharepin hufy,-
ane kecewa ma nih film nungguin,-
ka nonton membabibuta kecewa nonton film tu,-
jenuh nonton film hambar,-
sesal dada nonton film,-
film bikin emosional benerbener nyedot emosi,-
kecewa plot cerita film the guys critanya seakan lompat proses visual bs bikin kta mengerti amira suka sm alfi,-
jijik film pas kelinci gede nightmare parah,-
naruto film bodoh faktanya quote,-
film e hambar,-
film byk sensor rasanya g hambar,-
kecewa pkoknya setidaknya mslh jam tayang bs ngertiin tp klu film cut g bs dingertiin kaulahtakdirkumembelamu,-
novel favorit filmkan hasilnya bikin kecewa parah p teaser criticaleleven yakin team ce serius film,-
intinya kmren kecewa bgt krna mmbiarkan anak nnton film dewasa jam tayang malam wib criticaleleven,-
kecewa parah nnton film the guys ksini radit bkin film gapernah bener lucu nggak jalan cerita gadapet,-
kecewa film danur diluar ekspektasi,-
gila film britney ever after jelek parah nyesel nonton sampe abis,-
sedih dengar curhatanmu oxana semoga uhan tunjukkan jalan titik terang utk oxana hitamputih pegulat,-
bos cowo kerja salah bentak abis cewe diajakin becanda trus ketawa mystupidboss hitamputiht,-
suara sang veteran perlu koruptor hukum mati hitamputiht,-
knp sahabat bs lupa dg sahabatnya bertemu teman barunya hitamputiht,-
baby tatan nangis ngeliat daddy hitamputiht,-
indonesia lawyers club vone malam batal tayang memalukan ezim sakit takut,-
minoritas ekonomi kuat menguasai mayoritas ekonomi lemah tidak dibahas sumber radikal miris ilc,-
mengingatkan jaga jarak dg islamis radikal melihat bangsa hancur ilc,-
hari geram ngeliat tingkah laku akhlaq oknum mengatasnama islam ilctvone,-
pihak polisi kasihan terlihat bodoh berhadapan argumentasi hukum pakar it ilctvone,-
bapak abi manyu kasian beliau tidak paham whatsapp miris ilctvone,-
sepenting apapun ingat mati seram ilctvone,-
kasian bapak berpeci pake batik merah air mata dikeluarin krn ahoax miris ilctvone,-
ilctvone mendengar cerita bu marwah merasa bodoh memalukan,-
berbicara kelamaan ribet ilc,-
puncak lupa sampahnya bawa turun alam tempat nyampah stop nyampah gunung kickandy,-
mencari uang dipaksa mengupayakan malas kickandy,-
anak milik berdua milik salah satu bantulah istri mengasuh anak gusdur kickandy,-
klo pulang rumah mati urus miskin mw taruh apartemen kickandy suarahatiahok,-
pak mukanya sedih pas kakak angkatnya ngomong kickandy,-
bodoh idak bodohi sistem mikemarjinal,-
indonesia dididik menjadi rusak kickandymetrotv,-
merasa malu krn kalah org tdk sempurna mempunyai org sempurna kickandymetrotv,-
kira tua keladi macan ompong melempem kecewa liat amin rais,-
kickandymetrotv media mengisi ttg kisah sukses v gosip berita rusuh acara gg jelas tai kucing catet,-
orangorang berhenti belajar menjadi bodoh kickandy,-
coba pulang kerumah mati urus miskin taruh apartemen kickandy suarahatiahok,-
tidak bodoh malas,-
ilc mendinginkan mata najwa memprovokasi metro tv emang tv sampah bosan memojokan islam metro tv perusak pancasila,-
kecewa mata najwa malam idak bermutu narasi najwa bukti ngerti masalah keberpihakan jadilah kebodohan,-
emosi sakit hati nonton mata najwa tv ganti chanel masakan,-
gara bantai teman anggota dpr mata najwa langsung benci metro v,-
bataldebatkarena kasihan pas debat mata najwa metrotv pak basuki nangis kebayang kemarin debat,-
malas lihat anies bawa sial baik lihat ahok mata najwa,-
liat mata najwa males diskusi imbang salah satunya jualan mimpi,-
pak anis pak anis rekaman thn msh disimpan loh sm metrotv malu nelen ludah sendri matanajwametrotv,-
gw kesel klo debat pake emosi gini,-
miskin miskin klo sekolah melakukan pungutan liar terus,-
emosi cepat tua nonton matanajwametrotv lihat bapak hotmansutapea tiba ikut emosi bicara,-
aman ambisius antusias asik asmara bahagia bangga berahi berani berdaya,+
berharga berhasil berterimakasih besar hati bijaksana buai cerdas ceria cinta,+
cium damai demen dinamis dorong edan enak fokus gairah gembira,+
gemilang getar hati gigih girang hasrat hebat hibur hidup inspirasi,+
jamin juang kagum kangen kasih kasih sayang kasmaran kaya keren kesiap,+
kreatif kuat lega sekali limpah mantap mesra nawan nyaman optimis perasaan,+
percaya percaya diri pesona pikat pingin pintar praktis puas pukau rajin,+
rangsang rendah hati riang gembira rindu sabar santai sayang sehat semangat senang senyum,+
setia siap suka suka cita sukaria syukur tabah takjub tarik tawa,+
tekun tenang tenteram tepati terima,+
